iter	Passed	Remaining
0	40	8090
1	89	8812
2	151	9961
3	198	9731
4	241	9436
5	286	9249
6	328	9070
7	392	9415
8	436	9262
9	485	9232
10	530	9121
11	577	9040
12	623	8962
13	669	8896
14	712	8791
15	758	8723
16	802	8635
17	844	8542
18	889	8473
19	937	8439
20	985	8400
21	1032	8355
22	1080	8315
23	1122	8234
24	1171	8199
25	1221	8172
26	1263	8097
27	1327	8156
28	1375	8111
29	1422	8059
30	1469	8012
31	1519	7976
32	1565	7920
33	1614	7880
34	1664	7846
35	1713	7806
36	1756	7740
37	1804	7693
38	1853	7649
39	1900	7602
40	1947	7551
41	1998	7518
42	2047	7474
43	2094	7426
44	2143	7383
45	2190	7332
46	2238	7288
47	2285	7238
48	2334	7193
49	2382	7146
50	2428	7093
51	2476	7047
52	2522	6995
53	2564	6934
54	2611	6884
55	2657	6834
56	2726	6839
57	2780	6807
58	2834	6775
59	2898	6762
60	2955	6735
61	3021	6725
62	3078	6693
63	3131	6653
64	3181	6607
65	3228	6554
66	3277	6505
67	3328	6461
68	3380	6418
69	3431	6373
70	3501	6362
71	3555	6321
72	3610	6281
73	3663	6238
74	3714	6191
75	3764	6141
76	3815	6095
77	3866	6047
78	3917	5999
79	3963	5944
80	4006	5886
81	4056	5837
82	4107	5789
83	4158	5743
84	4207	5692
85	4260	5647
86	4309	5597
87	4359	5548
88	4409	5499
89	4467	5459
90	4522	5417
91	4581	5378
92	4639	5338
93	4697	5297
94	4747	5247
95	4806	5206
96	4861	5162
97	4916	5117
98	4970	5070
99	5043	5043
100	5095	4994
101	5159	4957
102	5224	4919
103	5292	4885
104	5353	4843
105	5406	4794
106	5461	4746
107	5516	4698
108	5569	4649
109	5620	4598
110	5673	4549
111	5725	4498
112	5779	4449
113	5829	4397
114	5881	4347
115	5932	4295
116	5983	4244
117	6030	4190
118	6078	4137
119	6129	4086
120	6178	4034
121	6232	3984
122	6283	3933
123	6338	3884
124	6394	3836
125	6447	3786
126	6499	3735
127	6550	3684
128	6603	3634
129	6655	3583
130	6703	3530
131	6754	3479
132	6806	3429
133	6859	3378
134	6908	3326
135	6958	3274
136	7004	3220
137	7049	3167
138	7101	3116
139	7165	3071
140	7221	3021
141	7280	2973
142	7334	2923
143	7388	2873
144	7446	2824
145	7504	2775
146	7561	2726
147	7622	2678
148	7678	2628
149	7738	2579
150	7795	2529
151	7852	2479
152	7900	2426
153	7952	2375
154	8004	2323
155	8057	2272
156	8107	2220
157	8161	2169
158	8215	2118
159	8273	2068
160	8320	2015
161	8371	1963
162	8423	1911
163	8477	1860
164	8533	1810
165	8587	1758
166	8641	1707
167	8698	1656
168	8748	1604
169	8800	1553
170	8852	1501
171	8907	1450
172	8961	1398
173	9008	1346
174	9052	1293
175	9101	1241
176	9148	1188
177	9195	1136
178	9247	1084
179	9303	1033
180	9362	982
181	9418	931
182	9473	880
183	9521	827
184	9576	776
185	9627	724
186	9677	672
187	9737	621
188	9788	569
189	9840	517
190	9890	466
191	9938	414
192	9985	362
193	10033	310
194	10088	258
195	10139	206
196	10189	155
197	10240	103
198	10292	51
199	10347	0
