dependency,usage_count,usage_percentage
numpy,814,25.44545170365739
scipy,610,19.068458893404188
matplotlib,591,18.474523288527664
pytest,512,16.005001562988433
pandas,480,15.004688965301657
sphinx,408,12.753985620506409
testthat,357,11.159737417943107
knitr,325,10.15942482025633
rmarkdown,317,9.909346670834635
pytest-cov,279,8.721475461081587
tqdm,254,7.939981244138794
requests,216,6.752110034385746
ggplot2,207,6.47077211628634
dplyr,198,6.189434198186934
scikit-learn,193,6.033135354798374
packaging,189,5.908096280087528
sphinx_rtd_theme,184,5.751797436698968
nbsphinx,177,5.5329790559549865
pyyaml,176,5.501719287277274
ipython,171,5.345420443888715
coverage,166,5.189121600500156
six,165,5.157861831822444
python-dateutil,164,5.126602063144733
ipykernel,150,4.688965301656768
sphinx-rtd-theme,150,4.688965301656768
setuptools,149,4.657705532979056
h5py,142,4.438887152235074
pre-commit,140,4.3763676148796495
stats,140,4.3763676148796495
jinja2,138,4.313848077524226
urllib3,136,4.251328540168803
click,135,4.220068771491091
certifi,134,4.188809002813379
rlang,132,4.126289465457956
idna,131,4.0950296967802435
pytz,130,4.063769928102532
docutils,128,4.001250390747108
tibble,128,4.001250390747108
black,126,3.938730853391685
colorama,126,3.938730853391685
pillow,126,3.938730853391685
tidyr,126,3.938730853391685
utils,125,3.9074710847139733
psutil,124,3.8762113160362612
pyparsing,123,3.8449515473585496
typing-extensions,123,3.8449515473585496
covr,122,3.8136917786808375
charset-normalizer,121,3.7824320100031263
pygments,121,3.7824320100031263
numpydoc,119,3.7199124726477026
pluggy,117,3.6573929352922785
tomli,117,3.6573929352922785
markupsafe,116,3.626133166614567
magrittr,116,3.626133166614567
numba,115,3.5948733979368557
attrs,110,3.4385745545482966
iniconfig,110,3.4385745545482966
joblib,110,3.4385745545482966
methods,110,3.4385745545482966
platformdirs,106,3.3135354798374492
seaborn,106,3.3135354798374492
stringr,104,3.251015942482026
networkx,102,3.1884964051266023
cycler,100,3.125976867771178
babel,99,3.094717099093467
ruff,99,3.094717099093467
kiwisolver,99,3.094717099093467
sphinx-copybutton,98,3.063457330415755
python,94,2.938418255704908
flake8,94,2.938418255704908
astropy,93,2.907158487027196
decorator,92,2.875898718349484
tzdata,91,2.8446389496717726
plotly,91,2.8446389496717726
purrr,91,2.8446389496717726
importlib-metadata,90,2.8133791809940605
nbconvert,89,2.782119412316349
fonttools,88,2.750859643638637
beautifulsoup4,87,2.719599874960925
contourpy,87,2.719599874960925
zipp,86,2.6883401062832135
