dependency,label,project_language,count
numpy,Modeling and simulation ,Python,814
scipy,Modeling and simulation,Python,610
matplotlib,Data analytics ,Python,591
pytest,Process,Python,512
pandas,Data analytics ,Python,480
sphinx,RIS,Python,408
testthat,Software,R,357
knitr,RIS,R,325
rmarkdown,RIS,R,317
pytest-cov,Software,Python,279
tqdm,Software,Python,254
requests,Software,Python,216
ggplot2,Data analytics,R,207
dplyr,Data analytics,R,198
scikit-learn,Data analytics ,Python,193
packaging,Software,Python,189
sphinx_rtd_theme,RIS,Python,184
nbsphinx,Software,Python,177
pyyaml,Software,Python,176
ipython,UI,Python,171
coverage,Software analytics,Python,166
six,Software,Python,165
python-dateutil,Software,Python,164
ipykernel,UI,Python,150
sphinx-rtd-theme,RIS,Python,150
setuptools,Software,Python,149
h5py,RIS,Python,142
pre-commit,Process,Python,140
stats,Data analytics,R,140
jinja2,Software,Python,138
urllib3,Software,Python,136
click,UI,Python,135
certifi,Software,Python,134
rlang,Software,R,132
idna,Software,Python,131
pytz,Software,Python,130
docutils,Process,Python,128
tibble,Data analytics,R,128
colorama,UI,Python,126
black,Software,Python,126
pillow,Data analytics,Python,126
tidyr,Data analytics,R,126
utils,Software,C++,125
psutil,Software,Python,124
pyparsing,Software,Python,123
typing-extensions,Software,Python,123
covr,Software analytics,R,122
charset-normalizer,Software,Python,121
pygments,Software,Python,121
numpydoc,Process,Python,119
pluggy,Software,Python,117
tomli,Software,Python,117
markupsafe,Software,Python,116
magrittr,Data analytics,R,116
numba,Modeling and simulation,Python,115
attrs,Software,Python,110
iniconfig,Software,Python,110
joblib,Software,Python,110
methods,Software,R,110
platformdirs,Software,Python,106
seaborn,Data analytics,Python,106
stringr,Data analytics,R,104
networkx,Modeling and simulation,Python,102
cycler,Data analytics,Python,100
babel,Software,Python,99
kiwisolver,Software,Python,99
ruff,Software,Python,99
sphinx-copybutton,RIS,Python,98
flake8,Software,Python,94
python,Software,C++,94
astropy,Data analytics,Python,93
decorator,Software,Python,92
purrr,Software,R,91
tzdata,Software,Python,91
plotly,Data analytics,Python,91
importlib-metadata,Software,Python,90
nbconvert,RIS,Python,89
fonttools,Software,Python,88
beautifulsoup4,Data analytics,Python,87
contourpy,Data analytics,Python,87
ipywidgets,UI,Python,86
zipp,Software,Python,86
mypy,Software,Python,85
jsonschema,Software,Python,84
wcwidth,Software,Python,84
exceptiongroup,Software,Python,83
cffi,Software,Python,82
myst-parser,Software,Python,81
pycparser,Software,Python,81
alabaster,Software,Python,80
filelock,Software,Python,80
traitlets,Software,Python,80
sphinxcontrib-devhelp,Process,Python,80
sphinxcontrib-htmlhelp,Process,Python,80
sphinxcontrib-qthelp,Process,Python,80
sphinxcontrib-serializinghtml,Process,Python,80
prompt-toolkit,UI,Python,79
sphinxcontrib-applehelp,Process,Python,79
xarray,Data analytics,Python,79
tornado,UI,Python,78
pyzmq,Software,Python,78
sphinxcontrib-jsmath,Process,Python,78
snowballstemmer,Data analytics,Python,78
jedi,Software,Python,76
parso,Software,Python,76
markdown,Process,Python,76
soupsieve,Software,Python,75
imagesize,Software,Python,74
nbformat,RIS,Python,74
torch,Data analytics ,Python,73
asttokens,Software,Python,72
executing,Software,Python,72
nest-asyncio,Software,Python,72
ptyprocess,Software,Python,72
matplotlib-inline,Data analytics,Python,72
pexpect,Software,Python,71
readme,RIS,Python,71
data.table,Data analytics,R,71
defusedxml,Software,Python,70
pure-eval,Software,Python,70
pywin32,Software,Python,70
jupyter,UI,Python,69
stack-data,Software analytics,Python,69
jupyter-core,Software,Python,69
Rcpp,Software,R,69
webencodings,Software,Python,69
jupyter-client,UI,Python,68
debugpy,Software,Python,68
rich,UI,Python,67
bleach,Software,Python,67
comm,Software,Python,65
jsonschema-specifications,Software,Python,65
referencing,Software,Python,65
rpds-py,Software,Python,65
